speed_threshold,timeline,sec_name,n_points,coverage_density,coverage_time,coverage_max_gap,max_jerk,max_acceleration,max_speed,median_jerk,mean_median_jerk_ratio,gt_error
80,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/express_bus_0,2751,1.1684156332095168,0.9779714956067638,0.02139477578715929,240916046670.701,11691615.687706593,7710.110836820451,80.44000495714783,4.498641958074976e-07,6.769007973500341e-10
80,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/walk_downtown_urban_canyon_0,639,1.0228416010453756,0.8360264160694705,0.17333935350042928,867524.4275364814,7635.3742594993255,109.47784455133043,2.3819162213011387,0.00036020259513369146,1.060580868851958e-09
80,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/light_rail_below_above_ground_0,834,1.1584694695622915,0.9779776797423717,0.03022767908002003,1411427684692.586,105067519.43558516,88401.10327536888,23.34023119507305,2.2918508619577084e-09,8.145851430344032e-10
80,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/commuter_rail_with_tunnels_0,4775,1.1718853165149357,0.9975129038920357,0.020447009636496365,9.614858702552496e+20,229236094954630.75,54654433.705386944,717.252490264771,3.5620700303165935e-15,7.999884506231548e-10
80,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/inner_suburb_downtown_walk_0,1201,1.0739265613728732,0.99367240547913,0.042707927940921986,3605026.6052533183,17900.084643682778,210.2223923362591,0.830230050885743,0.00010898323424304706,7.13358173776683e-10
80,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_caltrain_1,1012,1.0885996728621061,0.9380033564288238,0.05432166767994545,1211369.219886457,7965.780735945248,183.6920548620151,1.3509829206847825,0.00017572697803543906,7.066114844795951e-10
80,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/commuter_rail_aboveground_1,2709,1.1851406281220844,0.9917007635870672,0.025140724841100526,673200412901221.9,3238122293.4563293,775570.89893373,117.04513019188816,1.927100063418103e-10,7.225986198398043e-10
80,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/subway_underground_1,3887,1.1905516105002931,0.9675606670819562,0.018913646575239255,inf,inf,inf,46.56319884327094,0.0,8.022390272317053e-10
80,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_bus_1,215,1.004735401206298,0.911562966245256,0.22091537710977163,9551.569500798605,305.31808980285723,15.530405750376374,1.6220896610990907,0.004882859515876,8.417568395528515e-10
80,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/city_bus_short_1,535,1.1655471854371682,0.985812079005009,0.06699019951039784,284709768.2810585,341564.26663423056,638.7877407062397,252.832370453643,0.0002559968218986476,6.4425497260919e-10
