acceleration_threshold,timeline,sec_name,n_points,coverage_density,coverage_time,coverage_max_gap,max_jerk,max_acceleration,max_speed,median_jerk,mean_median_jerk_ratio,gt_error
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/express_bus_5,2381,1.1901073489375285,0.9672459100158367,0.03128363060771025,4251450844.055733,162588.00649584556,162.50975832710574,39.930123690305,2.232672257064352e-05,7.342253319793175e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/walk_downtown_urban_canyon_5,652,1.0130380518125965,0.8750922468648891,0.12047664967260803,773964.4588864569,6958.903761544983,146.33002041813427,3.7926444389304326,0.0010370562604461093,8.02529976053429e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/light_rail_below_above_ground_5,799,1.1549854912682338,0.9736099643277499,0.021941972004401105,875329.6095376407,10558.852508059723,220.92418985101136,7.257904923963999,0.0006993446779355251,8.145851430344032e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/commuter_rail_with_tunnels_5,4252,1.1966217433545243,0.9952035473921623,0.023326300483583418,6413707.812582788,18370.168432056504,638.5358681902497,67.7559740015617,0.014004675421851692,7.999884506231548e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/inner_suburb_downtown_walk_5,1063,1.0837897723786443,0.9964671672294578,0.04992635287352432,60903.61453532847,1675.537104632242,47.69853169471404,1.011892046962661,0.01217444142996358,7.13358173776683e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_caltrain_6,945,1.0943668186564532,0.9533283105384409,0.047387994095183975,12879656.536383627,57957.168086804384,262.100745853765,1.9257047342614817,9.78224015645418e-05,7.066114844795951e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/commuter_rail_aboveground_6,2859,1.174898475263851,0.9968861495782776,0.03178684885457953,8504149.496481948,43338.94544460556,856.2309080965003,80.39641908352317,0.01074705024945659,7.225986198398043e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/subway_underground_6,3901,1.1888153695217625,0.9968819785285314,0.013672434863613886,194056571.10458273,353522.3070942697,2367.682829376041,44.087012027860254,6.091186847182298e-05,8.022390272317053e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_bus_6,292,1.0112037324657515,0.9349428917605862,0.2616957275117698,4256.466368887147,147.01256464254598,12.188724472055311,1.2538074094284748,0.022314927851764407,8.417568395528515e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/city_bus_short_6,366,1.1933310208133237,0.9748670505957341,0.03749487842903497,56057.11571365425,304.41052453049235,41.12675203181031,34.243140113262065,0.09243107671047178,6.922048303980974e-10
